bias_id,bias,experiment_type,scenario,content,variables,response_type,target_response,part,parts_total,updated_at
211,loss aversion,multi-scenario,1_persona,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure gain of $ sure_gain_value, or B. A 50% chance to gain $ gain_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 300, ""sure_gain_value"": 100, ""gain_value"": 200}",choice,A,1,2,
212,loss aversion,multi-scenario,1_persona,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure loss of $ sure_loss_value, or B. A 50% chance to lose $ loss_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 500, ""sure_loss_value"": 100, ""loss_value"": 200}",choice,A,2,2,
221,loss aversion,multi-scenario,2_odd_numbers,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure gain of $ sure_gain_value, or B. A 50% chance to gain $ gain_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 2910, ""sure_gain_value"": 970, ""gain_value"": 1940}",choice,A,1,2,
222,loss aversion,multi-scenario,2_odd_numbers,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure loss of $ sure_loss_value, or B. A 50% chance to lose $ loss_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 4850, ""sure_loss_value"": 970, ""loss_value"": 1940}",choice,A,2,2,
231,loss aversion,multi-scenario,3_large_numbers,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure gain of $ sure_gain_value, or B. A 50% chance to gain $ gain_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 16666650, ""sure_gain_value"": 5555550, ""gain_value"": 11111100}",choice,A,1,2,
232,loss aversion,multi-scenario,3_large_numbers,"Assume yourself richer by $ richer_value than you are today. You are offered a choice between A. A sure loss of $ sure_loss_value, or B. A 50% chance to lose $ loss_value and a 50% chance to lose $ 0. Choose between A and B. __","{""richer_value"": 27777750, ""sure_loss_value"": 5555550, ""loss_value"": 11111100}",choice,A,2,2,
301,sunk cost fallacy,single-scenario,0_normal,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 50, ""wisconsin_value"": 50}",choice,A,1,2,2024-10-04 18:14:49.540079
302,sunk cost fallacy,single-scenario,0_normal,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 100, ""wisconsin_value"": 50}",choice,A,2,2,
311,sunk cost fallacy,single-scenario,1_persona,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 50, ""wisconsin_value"": 50}",choice,A,1,2,
312,sunk cost fallacy,single-scenario,1_persona,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 100, ""wisconsin_value"": 50}",choice,A,2,2,
321,sunk cost fallacy,single-scenario,2_odd_numbers,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 485, ""wisconsin_value"": 485}",choice,A,1,2,
322,sunk cost fallacy,single-scenario,2_odd_numbers,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 970, ""wisconsin_value"": 485}",choice,A,2,2,
331,sunk cost fallacy,single-scenario,3_large_numbers,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 2777775, ""wisconsin_value"": 2777775}",choice,A,1,2,
332,sunk cost fallacy,single-scenario,3_large_numbers,"Assume that you have spent $ michigan_value on a ticket for a weekend ski trip to Michigan. Several weeks later you buy a $ wisconsin_value ticket for a weekend ski trip to Wisconsin. You think you will enjoy the Wisconsin ski trip more than the Michigan ski trip. As you are putting your just-purchased Wisconsin ski trip ticket in your wallet, you notice that the Michigan ski trip and the Wisconsin ski trip are for the same weekend! It’s too late to sell either ticket, and you cannot return either one. You must use one ticket and not the other. Which ski trip will you go on? A) $ michigan_value ski trip to Michigan B) $ wisconsin_value ski trip to Wisconsin. __","{""michigan_value"": 5555550, ""wisconsin_value"": 2777775}",choice,A,2,2,
401,category size bias,multi-scenario,0_normal,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to upper_gray_balls_value are gray, and lower_white_balls_value to upper_white_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 15, ""upper_black_balls_value"": 5, ""lower_gray_balls_value"": 6, ""upper_gray_balls_value"": 10, ""lower_white_balls_value"": 11, ""upper_white_balls_value"": 15, ""target_ball"": 8}",numerical,,1,2,2024-09-23 14:09:00.219877
402,category size bias,multi-scenario,0_normal,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to total_balls_value are gray, and lower_white_balls_value to total_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 15, ""upper_black_balls_value"": 2, ""lower_gray_balls_value"": 3, ""upper_gray_balls_value"": 13, ""lower_white_balls_value"": 14, ""upper_white_balls_value"": 15, ""target_ball"": 8}",numerical,,2,2,2024-09-23 14:09:00.219877
411,category size bias,multi-scenario,1_persona,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to upper_gray_balls_value are gray, and lower_white_balls_value to upper_white_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 15, ""upper_black_balls_value"": 5, ""lower_gray_balls_value"": 6, ""upper_gray_balls_value"": 10, ""lower_white_balls_value"": 11, ""upper_white_balls_value"": 15, ""target_ball"": 8}",numerical,,1,2,
412,category size bias,multi-scenario,1_persona,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to total_balls_value are gray, and lower_white_balls_value to total_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 15, ""upper_black_balls_value"": 2, ""lower_gray_balls_value"": 3, ""upper_gray_balls_value"": 13, ""lower_white_balls_value"": 14, ""upper_white_balls_value"": 15, ""target_ball"": 8}",numerical,,2,2,
421,category size bias,multi-scenario,2_odd_numbers,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to upper_gray_balls_value are gray, and lower_white_balls_value to upper_white_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 146, ""upper_black_balls_value"": 48, ""lower_gray_balls_value"": 58, ""upper_gray_balls_value"": 97, ""lower_white_balls_value"": 107, ""upper_white_balls_value"": 146, ""target_ball"": 78}",numerical,None,1,2,
422,category size bias,multi-scenario,2_odd_numbers,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to total_balls_value are gray, and lower_white_balls_value to total_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 146, ""upper_black_balls_value"": 19, ""lower_gray_balls_value"": 29, ""upper_gray_balls_value"": 126, ""lower_white_balls_value"": 136, ""upper_white_balls_value"": 146, ""target_ball"": 78}",numerical,None,2,2,
431,category size bias,multi-scenario,3_large_numbers,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to upper_gray_balls_value are gray, and lower_white_balls_value to upper_white_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 833332, ""upper_black_balls_value"": 277778, ""lower_gray_balls_value"": 333333, ""upper_gray_balls_value"": 555555, ""lower_white_balls_value"": 611110, ""upper_white_balls_value"": 833332, ""target_ball"": 444444}",numerical,None,1,2,
432,category size bias,multi-scenario,3_large_numbers,"Imagine a lottery containing total_balls_value. Balls 1 to upper_black_balls_value are black, lower_gray_balls_value to total_balls_value are gray, and lower_white_balls_value to total_balls_value are white. If one ball is drawn from the urn, what is the probability that it will be ball target_ball? Answer the percentage between 0 and 100. % __","{""total_balls_value"": 833332, ""upper_black_balls_value"": 111111, ""lower_gray_balls_value"": 166666, ""upper_gray_balls_value"": 722222, ""lower_white_balls_value"": 777777, ""upper_white_balls_value"": 833332, ""target_ball"": 444444}",numerical,None,2,2,
501,gamblers fallacy,multi-scenario,0_normal,A fair coin has been flipped flip_times_value times and has come up heads each time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 6}",numerical,50,1,2,2024-09-23 14:09:00.219877
502,gamblers fallacy,multi-scenario,0_normal,A fair coin has been flipped flip_times_value times and has come up heads half the time and tails half the time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 6}",numerical,50,2,2,2024-09-23 14:09:00.219877
511,gamblers fallacy,multi-scenario,1_persona,A fair coin has been flipped flip_times_value times and has come up heads each time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 6}",numerical,50,1,2,
512,gamblers fallacy,multi-scenario,1_persona,A fair coin has been flipped flip_times_value times and has come up heads half the time and tails half the time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 6}",numerical,50,2,2,
521,gamblers fallacy,multi-scenario,2_odd_numbers,A fair coin has been flipped flip_times_value times and has come up heads each time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 58}",numerical,50,1,2,
522,gamblers fallacy,multi-scenario,2_odd_numbers,A fair coin has been flipped flip_times_value times and has come up heads half the time and tails half the time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 58}",numerical,50,2,2,
531,gamblers fallacy,multi-scenario,3_large_numbers,A fair coin has been flipped flip_times_value times and has come up heads each time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 333333}",numerical,50,1,2,
532,gamblers fallacy,multi-scenario,3_large_numbers,A fair coin has been flipped flip_times_value times and has come up heads half the time and tails half the time. What is the probability that the next flip will be heads? Answer the percentage between 0 and 100. % __,"{""flip_times_value"": 333333}",numerical,50,2,2,
601,anchoring,multi-scenario,0_normal,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 10}",numerical,25,1,2,2024-09-23 17:53:39.438655
602,anchoring,multi-scenario,0_normal,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 65}",numerical,45,2,2,2024-09-23 17:53:39.438655
611,anchoring,multi-scenario,1_persona,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 10}",numerical,25,1,2,
612,anchoring,multi-scenario,1_persona,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 65}",numerical,45,2,2,
621,anchoring,multi-scenario,2_odd_numbers,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 12}",numerical,25,1,2,
622,anchoring,multi-scenario,2_odd_numbers,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 76}",numerical,45,2,2,
631,anchoring,multi-scenario,3_large_numbers,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 0}",numerical,25,1,2,
632,anchoring,multi-scenario,3_large_numbers,"Do you think the portion of African countries in the United Nations is higher or lower than portion_value %? Now that you have thought about that, what would you estimate the actual exact portion to be? Answer the percentage between 0 and 100 (Please only answer the percentage as a number without the % sign.). % __","{""portion_value"": 100}",numerical,45,2,2,
701,transaction utility,multi-scenario,0_normal,"You set off to buy a new radio. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 35, ""second_price_value"": 25}",choice,B,1,2,
702,transaction utility,multi-scenario,0_normal,"You set off to buy a new television. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 650, ""second_price_value"": 640}",choice,A,2,2,
711,transaction utility,multi-scenario,1_persona,"You set off to buy a new radio. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 35, ""second_price_value"": 25}",choice,B,1,2,
712,transaction utility,multi-scenario,1_persona,"You set off to buy a new television. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 650, ""second_price_value"": 640}",choice,A,2,2,
721,transaction utility,multi-scenario,2_odd_numbers,"You set off to buy a new radio. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 340, ""second_price_value"": 242}",choice,B,1,2,
722,transaction utility,multi-scenario,2_odd_numbers,"You set off to buy a new television. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 6305, ""second_price_value"": 6208}",choice,A,2,2,
731,transaction utility,multi-scenario,3_large_numbers,"You set off to buy a new radio. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 1944442, ""second_price_value"": 1388888}",choice,B,1,2,
732,transaction utility,multi-scenario,3_large_numbers,"You set off to buy a new television. At the store where you expect to buy it, you find that the price is $ initial_price_value. A clerk informs you that the same item is available at another branch of the same store for on $ second_price_value. The store is a 20-minute drive away and the clerk assures you that they have what you want there. Do you buy A) at the initial store or B) go to the other store? Choose between A and B. __","{""initial_price_value"": 36111075, ""second_price_value"": 35555520}",choice,A,2,2,
801,framing effect,multi-scenario,0_normal,"Imagine that you have decided to see a play where admission is $ ticket_value. As you enter the theater, you discover that you have lost a $ ticket_value bill. Would you still pay $ ticket_value for a ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 10}",choice,A,1,2,
802,framing effect,multi-scenario,0_normal,"Imagine that you have decided to see a play and paid the admission price of $ ticket_value per ticket. As you enter the theater, you discover that you have lost the ticket. The seat was not marked and the ticket cannot be recovered. Would you pay $ ticket_value for another ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 10}",choice,B,2,2,
811,framing effect,multi-scenario,1_persona,"Imagine that you have decided to see a play where admission is $ ticket_value. As you enter the theater, you discover that you have lost a $ ticket_value bill. Would you still pay $ ticket_value for a ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 10}",choice,A,1,2,
812,framing effect,multi-scenario,1_persona,"Imagine that you have decided to see a play and paid the admission price of $ ticket_value per ticket. As you enter the theater, you discover that you have lost the ticket. The seat was not marked and the ticket cannot be recovered. Would you pay $ ticket_value for another ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 10}",choice,B,2,2,
821,framing effect,multi-scenario,2_odd_numbers,"Imagine that you have decided to see a play where admission is $ ticket_value. As you enter the theater, you discover that you have lost a $ ticket_value bill. Would you still pay $ ticket_value for a ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 97}",choice,A,1,2,
822,framing effect,multi-scenario,2_odd_numbers,"Imagine that you have decided to see a play and paid the admission price of $ ticket_value per ticket. As you enter the theater, you discover that you have lost the ticket. The seat was not marked and the ticket cannot be recovered. Would you pay $ ticket_value for another ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 97}",choice,B,2,2,
831,framing effect,multi-scenario,3_large_numbers,"Imagine that you have decided to see a play where admission is $ ticket_value. As you enter the theater, you discover that you have lost a $ ticket_value bill. Would you still pay $ ticket_value for a ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 555555}",choice,A,1,2,
832,framing effect,multi-scenario,3_large_numbers,"Imagine that you have decided to see a play and paid the admission price of $ ticket_value per ticket. As you enter the theater, you discover that you have lost the ticket. The seat was not marked and the ticket cannot be recovered. Would you pay $ ticket_value for another ticket to the play? Choose between A) Yes or B) No. __","{""ticket_value"": 555555}",choice,B,2,2,
